"Tabela 987 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações e salário médio mensal, por seção, divisão e grupo da classificação de atividades (CNAE 2.0) e faixas de pessoal ocupado total"
"Faixas de pessoal ocupado";"Total"
"Unidade da Federação";"Classificação Nacional de Atividades Econômicas (CNAE 2.0)";"Variável X Ano"
;;"Número de empresas e outras organizações (Unidades)";;;;;;;"Pessoal ocupado total (Pessoas)";;;;;;;"Pessoal ocupado assalariado (Pessoas)";;;;;;;"Salários e outras remunerações (Mil Reais)";;;;;;;"Salário médio mensal (Salários mínimos)"
"Amapá";"G Comércio, reparação de veículos automotores e motocicletas";3149;3056;3377;3600;4310;4395;4167;16473;18305;19911;21806;24465;26283;28072;12990;14688;15946;17659;19558;21016;23071;83808;99014;118322;153692;201458;223238;281687;1,5;1,4;1,4;1,5;1,6;1,6;1,5
"Amapá";"H Transporte, armazenagem e correio";122;138;145;146;179;194;182;2024;2443;2286;2196;2513;2543;2904;1840;2203;2031;1971;2247;2252;2603;19381;23130;29008;29402;32892;36781;48896;2,4;2,3;2,7;2,7;2,5;2,3;2,3
"Amapá";"I Alojamento e alimentação";272;298;332;327;431;478;464;2016;2161;2452;2658;3025;3195;3392;1694;1770;2048;2267;2540;2617;2841;9054;10337;13559;16727;20860;23876;29140;1,3;1,2;1,3;1,3;1,3;1,3;1,2
"Tocantins";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";273;277;350;333;377;372;401;2038;2181;3021;2492;2552;2606;2756;1678;1764;2528;1993;2021;2061;2116;13376;14653;24205;23496;22749;25884;29386;1,8;1,7;1,8;1,9;1,6;1,7;1,7
"Tocantins";"B Indústrias extrativas";79;90;94;96;106;105;121;564;821;762;834;1037;1277;1522;460;682;621;694;907;1131;1354;4902;7779;9352;10070;19284;28142;20871;2,3;2,3;2,8;2,6;3,2;3,5;2,3
"Tocantins";"C Indústrias de transformação";1296;1331;1344;1367;1429;1388;1396;9007;10776;11349;12028;13601;13932;14752;7465;9050;9619;10280;11936;12291;12948;54748;68614;78252;97287;133132;161675;190458;1,7;1,6;1,5;1,6;1,7;1,9;1,7
"Tocantins";"D Eletricidade e gás";15;12;19;22;16;22;19;753;883;1041;948;895;1006;1025;744;857;993;899;854;954;983;18372;25445;38603;30819;30299;36246;41025;5,7;6,6;7,3;5,7;5,3;5,5;5,2
"Tocantins";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";34;30;36;37;38;39;53;1381;1471;1551;1639;1674;1828;2058;1339;1416;1502;1589;1627;1777;1990;23441;27383;31425;34984;36489;43911;54463;3,9;4,1;4,0;3,7;3,4;3,5;3,4
"Tocantins";"F Construção";617;683;692;809;929;978;1121;5813;8837;8131;8465;10202;10522;11836;4999;7917;7225;7408;9040;9212;10192;60206;102124;91449;86559;118318;117947;135565;2,5;2,5;2,2;1,9;1,9;1,8;1,6
"Tocantins";"G Comércio, reparação de veículos automotores e motocicletas";11088;11202;11683;12432;12966;12658;12915;36489;40966;44055;47358;50212;52692;57716;24284;26987;29753;31990;35553;37574;41994;166878;200717;246099;292166;387910;435066;544402;1,6;1,6;1,6;1,6;1,7;1,6;1,6
